0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:40 +0900] "GET /shop/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:40 +0900] "GET /shop/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:40 +0900] "GET /shop/view/replyList?n=55 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:44 +0900] "GET /shop/list?c=503&l=2 HTTP/1.1" 200 16202
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:44 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:44 +0900] "GET /shop/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:44 +0900] "GET /resources/images/crono.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:44 +0900] "GET /shop/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:44 +0900] "GET /shop/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:45 +0900] "GET /shop/view?n=57 HTTP/1.1" 200 19044
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:45 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:45 +0900] "GET /resources/images/crono.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:45 +0900] "GET /shop/img/undraw_profile_1.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:45 +0900] "GET /shop/img/undraw_profile_2.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:45 +0900] "GET /shop/img/undraw_profile_3.svg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:45 +0900] "GET /shop/view/replyList?n=57 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Mar/2025:12:07:48 +0900] "GET /shop/cartList HTTP/1.1" 200 20214
